53 75
M 9 15
M 33 4
M 5 31
M 18 73
M 27 14
M 45 18
M 5 46
M 0 58
M 40 74
M 33 69
M 2 0
M 34 40
M 19 67
M 12 26
M 40 22
M 23 24
M 7 4
M 9 0
M 29 72
M 51 72
M 1 44
M 44 64
M 43 53
M 11 7
M 47 35
M 31 33
M 16 26
M 11 22
M 4 44
M 52 21
M 22 56
M 35 54
M 10 47
M 42 25
M 30 59
M 19 46
M 24 31
M 36 40
M 28 0
M 46 2
M 21 68
M 26 58
M 24 42
M 31 31
M 29 11
M 2 13
M 5 56
M 12 36
M 23 29
M 29 52
M 32 63
M 49 13
M 7 39
M 19 55
M 43 17
M 45 60
M 23 17
M 39 12
M 35 73
M 19 27
M 13 47
M 21 12
M 17 65
M 2 2
M 42 30
M 13 35
M 31 67
M 0 45
M 30 42
M 10 15
M 15 28
M 35 17
M 48 39
M 7 28
M 51 47
M 31 0
M 46 6
M 4 68
M 24 71
M 52 35
M 44 61
M 9 52
M 21 6
M 14 48
M 27 4
M 20 43
M 23 70
M 32 67
M 19 3
M 50 18
M 21 53
M 20 1
M 16 58
M 3 28
M 46 9
M 27 30
M 41 71
M 9 54
M 6 45
M 14 22
M 0 11
M 42 13
M 26 2
M 0 37
M 5 10
M 30 71
M 2 52
M 29 67
M 31 9
M 35 69
M 43 18
M 51 39
M 44 18
M 21 34
M 23 65
M 39 4
M 50 44
M 27 56
M 27 13
M 4 69
M 39 60
M 4 4
M 36 0
M 38 39
M 9 3
M 47 7
s 5 73
d 34 41
z 47 47
k 27 26
i 2 10
a 42 57
j 51 41
p 32 68
i 38 2
l 15 56
f 49 31
v 48 57
m 15 37
f 36 15
m 5 34
q 45 47
q 35 26
x 0 36
x 13 46
c 32 7
a 35 33
q 47 65
r 4 66
z 21 24
z 8 49
m 46 28
v 28 18
o 34 13
t 33 25
f 27 17
d 29 25
s 21 25
n 1 25
e 7 74
a 46 34
j 41 57
q 49 21
d 32 61
d 23 28
q 16 11
z 20 67
r 33 15
d 18 66
d 27 29
n 52 28
e 37 45
a 26 28
a 40 20
t 19 63
t 44 55
k 3 52
e 27 63
m 16 9
w 6 59
t 17 53
m 21 14
s 26 44
q 48 30
g 3 44
y 40 7
o 11 38
p 28 17
m 26 12
e 37 52
e 11 13
m 20 5
i 25 33
t 51 59
u 2 15
r 52 20
n 48 31
e 18 34
f 37 18
o 46 1
l 6 60
u 19 65
i 13 11
y 12 29
x 31 29
v 41 10
o 14 35
x 14 40
p 8 67
v 49 69
n 52 44
w 16 10
y 40 60
k 3 68
z 30 1
k 20 11
o 19 48
z 40 33
u 12 59
s 46 26
r 47 31
b 1 56
b 16 2
e 46 20
p 18 62
j 48 44
a 29 51
m 30 55
x 25 13
v 12 3
u 17 70
a 38 45
z 48 7
g 52 23
c 9 17
t 51 55
k 23 11
r 31 1
w 31 38
y 28 50
g 10 19
f 39 67
w 35 57
r 9 40
s 38 63
d 15 22
c 16 22
h 28 6
